URN (do not edit)	SOURCE Slot (do not edit)	Data Type	Permitted Value	MDR Path (do not edit)	Matching Input (can be edited)
urn:ccdg:dataelement:13:2		INTEGER		Radiation therapy / Date of end of radiation therapy = INTEGER	Radiation therapy / Date of end of radiation therapy = INTEGER
urn:ccdg:dataelement:12:4		INTEGER		Radiation therapy / Date of start of radiation therapy = INTEGER	Radiation therapy / Date of start of radiation therapy = INTEGER
urn:ccdg:dataelement:88:1		ENUMERATED	Colonoscopy diagnostic exam - Positive	Diagnostic exam / Colonoscopy = Positive	Diagnostic exam / Colonoscopy = Positive
urn:ccdg:dataelement:88:1		ENUMERATED	Colonoscopy diagnostic exam - Negative	Diagnostic exam / Colonoscopy = Negative	Diagnostic exam / Colonoscopy = Negative
urn:ccdg:dataelement:88:1		ENUMERATED	Colonoscopy diagnostic exam- Not done	Diagnostic exam / Colonoscopy = Not done	Diagnostic exam / Colonoscopy = Not done
urn:ccdg:dataelement:88:1		ENUMERATED	Colonoscopy diagnostic exam- Unknown	Diagnostic exam / Colonoscopy = Unknown	Diagnostic exam / Colonoscopy = Unknown
urn:ccdg:dataelement:31:3		ENUMERATED	CT- Not done	Diagnostic exam / CT = Not done	Diagnostic exam / CT = Not done
urn:ccdg:dataelement:31:3		ENUMERATED	CT - Done, data available	Diagnostic exam / CT = Done, data available	Diagnostic exam / CT = Done, data available
urn:ccdg:dataelement:31:3		ENUMERATED	CT - Done, data not available	Diagnostic exam / CT = Done, data not available	Diagnostic exam / CT = Done, data not available
urn:ccdg:dataelement:31:3		ENUMERATED	CT - Unknown	Diagnostic exam / CT = Unknown	Diagnostic exam / CT = Unknown
urn:ccdg:dataelement:61:5		ENUMERATED	Liver imaging - Unknown	Diagnostic exam / Liver imaging = Unknown	Diagnostic exam / Liver imaging = Unknown
urn:ccdg:dataelement:61:5		ENUMERATED	Liver imaging - Done, data not available	Diagnostic exam / Liver imaging = Done, data not available	Diagnostic exam / Liver imaging = Done, data not available
urn:ccdg:dataelement:61:5		ENUMERATED	Liver imaging - Done, data available	Diagnostic exam / Liver imaging = Done, data available	Diagnostic exam / Liver imaging = Done, data available
urn:ccdg:dataelement:61:5		ENUMERATED	Liver imaging - Unknown Not done	Diagnostic exam / Liver imaging = Not done	Diagnostic exam / Liver imaging = Not done
urn:ccdg:dataelement:63:4		ENUMERATED	Lung imaging - Unknown	Diagnostic exam / Lung imaging = Unknown	Diagnostic exam / Lung imaging = Unknown
urn:ccdg:dataelement:63:4		ENUMERATED	Lung imaging - Done, data not available	Diagnostic exam / Lung imaging = Done, data not available	Diagnostic exam / Lung imaging = Done, data not available
urn:ccdg:dataelement:63:4		ENUMERATED	Lung imaging - Done, data available	Diagnostic exam / Lung imaging = Done, data available	Diagnostic exam / Lung imaging = Done, data available
urn:ccdg:dataelement:63:4		ENUMERATED	Lung imaging - Not done	Diagnostic exam / Lung imaging = Not done	Diagnostic exam / Lung imaging = Not done
urn:ccdg:dataelement:30:3		ENUMERATED	MRI - Not done	Diagnostic exam / MRI = Not done	Diagnostic exam / MRI = Not done
urn:ccdg:dataelement:30:3		ENUMERATED	MRI - Done, data available	Diagnostic exam / MRI = Done, data available	Diagnostic exam / MRI = Done, data available
urn:ccdg:dataelement:30:3		ENUMERATED	MRI - Done, data not available	Diagnostic exam / MRI = Done, data not available	Diagnostic exam / MRI = Done, data not available
urn:ccdg:dataelement:30:3		ENUMERATED	MRI - Unknown	Diagnostic exam / MRI = Unknown	Diagnostic exam / MRI = Unknown
urn:ccdg:dataelement:11:2		INTEGER		Pharmacotherapy / Date of end of pharamcotherapy = INTEGER	Pharmacotherapy / Date of end of pharamcotherapy = INTEGER
urn:ccdg:dataelement:10:2		INTEGER		Pharmacotherapy / Date of start of pharamacotherapy = INTEGER	Pharmacotherapy / Date of start of pharamacotherapy = INTEGER
urn:ccdg:dataelement:59:6		ENUMERATED	Scheme of pharmacotherapy - Only preoperatively (no standard): 5-FU 250 mg/m2 i.v. continuous infusion on days 1-13 nad 22-35 and oxaliplatin 50mg/m2 i.v. day 1,8,22 and 29	Pharmacotherapy / Scheme of pharmacotherapy = Only preoperatively (no standard): 5-FU 250 mg/m2 i.v. continuous infusion on days 1-13 nad 22-35 and oxaliplatin 50mg/m2 i.v. day 1,8,22 and 29	Pharmacotherapy / Scheme of pharmacotherapy = Only preoperatively (no standard): 5-FU 250 mg/m2 i.v. continuous infusion on days 1-13 nad 22-35 and oxaliplatin 50mg/m2 i.v. day 1,8,22 and 29
urn:ccdg:dataelement:59:6		ENUMERATED	Scheme of pharmacotherapy - UFT (300-340mg/m2/day) and LV (22.5-90 mg/day) po continuously, 5(-7) days per week, together with radiotherapy	Pharmacotherapy / Scheme of pharmacotherapy = UFT (300-340mg/m2/day) and LV (22.5-90 mg/day) po continuously, 5(-7) days per week, together with radiotherapy	Pharmacotherapy / Scheme of pharmacotherapy = UFT (300-340mg/m2/day) and LV (22.5-90 mg/day) po continuously, 5(-7) days per week, together with radiotherapy
urn:ccdg:dataelement:59:6		ENUMERATED	Scheme of pharmacotherapy - Capecitabine 800-825 mg/m2 bid po, day 1-5, together with radiation or continuously untill end of radiation	Pharmacotherapy / Scheme of pharmacotherapy = Capecitabine 800-825 mg/m2 bid po, day 1-5, together with radiation or continuously untill end of radiation	Pharmacotherapy / Scheme of pharmacotherapy = Capecitabine 800-825 mg/m2 bid po, day 1-5, together with radiation or continuously untill end of radiation
urn:ccdg:dataelement:59:6		ENUMERATED	Scheme of pharmacotherapy - 5-FU 1000 mg/m2 i.v. continuous infusion, day 1-5, weeks 1 and 5	Pharmacotherapy / Scheme of pharmacotherapy = 5-FU 1000 mg/m2 i.v. continuous infusion, day 1-5, weeks 1 and 5	Pharmacotherapy / Scheme of pharmacotherapy = 5-FU 1000 mg/m2 i.v. continuous infusion, day 1-5, weeks 1 and 5
urn:ccdg:dataelement:59:6		ENUMERATED	Scheme of pharmacotherapy - 5-FU 225 mg/m2 i.v. continuous infusion, 5 days per week	Pharmacotherapy / Scheme of pharmacotherapy = 5-FU 225 mg/m2 i.v. continuous infusion, 5 days per week	Pharmacotherapy / Scheme of pharmacotherapy = 5-FU 225 mg/m2 i.v. continuous infusion, 5 days per week
urn:ccdg:dataelement:59:6		ENUMERATED	Scheme of pharmacotherapy - 5-FU 400 mg/m2 + 100 mg i.v. bolus, d 1,2, 11,12,21,22	Pharmacotherapy / Scheme of pharmacotherapy = 5-FU 400 mg/m2 + 100 mg i.v. bolus, d 1,2, 11,12,21,22	Pharmacotherapy / Scheme of pharmacotherapy = 5-FU 400 mg/m2 + 100 mg i.v. bolus, d 1,2, 11,12,21,22
urn:ccdg:dataelement:59:6		ENUMERATED	Scheme of pharmacotherapy - 5-FU 325-350 mg/m2 + LV 20 mg/m2i.v. bolus, day1-5, weeks 1 and 5	Pharmacotherapy / Scheme of pharmacotherapy = 5-FU 325-350 mg/m2 + LV 20 mg/m2i.v. bolus, day1-5, weeks 1 and 5	Pharmacotherapy / Scheme of pharmacotherapy = 5-FU 325-350 mg/m2 + LV 20 mg/m2i.v. bolus, day1-5, weeks 1 and 5
urn:ccdg:dataelement:59:6		ENUMERATED	Other	Pharmacotherapy / Scheme of pharmacotherapy = Other	Pharmacotherapy / Scheme of pharmacotherapy = Other
urn:ccdg:dataelement:81:3		STRING		Pharmacotherapy / Other pharmacotherapy scheme = STRING	Pharmacotherapy / Other pharmacotherapy scheme = STRING
urn:ccdg:dataelement:90:1		STRING		Patient Data / Patient pseudonym = STRING	Patient Data / Patient pseudonym = STRING
urn:ccdg:dataelement:3:1		INTEGER		Patient Data / Age at diagnosis (rounded to years) = INTEGER	Patient Data / Age at diagnosis (rounded to years) = INTEGER
urn:ccdg:dataelement:85:1		ENUMERATED	male	Patient Data / Biological sex = male	Patient Data / Biological sex = male
urn:ccdg:dataelement:85:1		ENUMERATED	female	Patient Data / Biological sex = female	Patient Data / Biological sex = female
urn:ccdg:dataelement:85:1		ENUMERATED	other	Patient Data / Biological sex = other	Patient Data / Biological sex = other
urn:ccdg:dataelement:51:3		DATE		Patient Data / Date of diagnosis = DATE	Patient Data / Date of diagnosis = DATE
urn:ccdg:dataelement:2:2		BOOLEAN	TRUE	Patient Data / Participation in clinical study = TRUE	Patient Data / Participation in clinical study = TRUE
urn:ccdg:dataelement:2:2		BOOLEAN	FALSE	Patient Data / Participation in clinical study = FALSE	Patient Data / Participation in clinical study = FALSE
urn:ccdg:dataelement:4:3		INTEGER		Patient Data / Time of recurrence (metastasis diagnosis) = INTEGER	Patient Data / Time of recurrence (metastasis diagnosis) = INTEGER
urn:ccdg:dataelement:75:1		ENUMERATED	Distant metastasis - M1b	Histopathology / TNM / Distant metastasis = M1b	Histopathology / TNM / Distant metastasis = M1b
urn:ccdg:dataelement:75:1		ENUMERATED	Distant metastasis - M1a	Histopathology / TNM / Distant metastasis = M1a	Histopathology / TNM / Distant metastasis = M1a
urn:ccdg:dataelement:75:1		ENUMERATED	Distant metastasis - M1	Histopathology / TNM / Distant metastasis = M1	Histopathology / TNM / Distant metastasis = M1
urn:ccdg:dataelement:75:1		ENUMERATED	Distant metastasis - M0	Histopathology / TNM / Distant metastasis = M0	Histopathology / TNM / Distant metastasis = M0
urn:ccdg:dataelement:75:1		ENUMERATED	Distant metastasis - M1c	Histopathology / TNM / Distant metastasis = M1c	Histopathology / TNM / Distant metastasis = M1c
urn:ccdg:dataelement:75:1		ENUMERATED	Distant metastasis - MX	Histopathology / TNM / Distant metastasis = MX	Histopathology / TNM / Distant metastasis = MX
urn:ccdg:dataelement:71:1		ENUMERATED	Primary Tumor - TX	Histopathology / TNM / Primary Tumor = TX	Histopathology / TNM / Primary Tumor = TX
urn:ccdg:dataelement:71:1		ENUMERATED	Primary Tumor - T0	Histopathology / TNM / Primary Tumor = T0	Histopathology / TNM / Primary Tumor = T0
urn:ccdg:dataelement:71:1		ENUMERATED	Primary Tumor - Tis	Histopathology / TNM / Primary Tumor = Tis	Histopathology / TNM / Primary Tumor = Tis
urn:ccdg:dataelement:71:1		ENUMERATED	Primary Tumor - T1	Histopathology / TNM / Primary Tumor = T1	Histopathology / TNM / Primary Tumor = T1
urn:ccdg:dataelement:71:1		ENUMERATED	Primary Tumor - T2	Histopathology / TNM / Primary Tumor = T2	Histopathology / TNM / Primary Tumor = T2
urn:ccdg:dataelement:71:1		ENUMERATED	Primary Tumor - T3	Histopathology / TNM / Primary Tumor = T3	Histopathology / TNM / Primary Tumor = T3
urn:ccdg:dataelement:71:1		ENUMERATED	Primary Tumor - T4a	Histopathology / TNM / Primary Tumor = T4a	Histopathology / TNM / Primary Tumor = T4a
urn:ccdg:dataelement:71:1		ENUMERATED	Primary Tumor - T4b	Histopathology / TNM / Primary Tumor = T4b	Histopathology / TNM / Primary Tumor = T4b
urn:ccdg:dataelement:71:1		ENUMERATED	Primary Tumor - T4	Histopathology / TNM / Primary Tumor = T4	Histopathology / TNM / Primary Tumor = T4
urn:ccdg:dataelement:77:1		ENUMERATED	Regional lymph nodes - N2b	Histopathology / TNM / Regional lymph nodes = N2b	Histopathology / TNM / Regional lymph nodes = N2b
urn:ccdg:dataelement:77:1		ENUMERATED	Regional lymph nodes - N2a	Histopathology / TNM / Regional lymph nodes = N2a	Histopathology / TNM / Regional lymph nodes = N2a
urn:ccdg:dataelement:77:1		ENUMERATED	Regional lymph nodes - N2	Histopathology / TNM / Regional lymph nodes = N2	Histopathology / TNM / Regional lymph nodes = N2
urn:ccdg:dataelement:77:1		ENUMERATED	Regional lymph nodes - N1c	Histopathology / TNM / Regional lymph nodes = N1c	Histopathology / TNM / Regional lymph nodes = N1c
urn:ccdg:dataelement:77:1		ENUMERATED	Regional lymph nodes - N1b	Histopathology / TNM / Regional lymph nodes = N1b	Histopathology / TNM / Regional lymph nodes = N1b
urn:ccdg:dataelement:77:1		ENUMERATED	Regional lymph nodes - N1a	Histopathology / TNM / Regional lymph nodes = N1a	Histopathology / TNM / Regional lymph nodes = N1a
urn:ccdg:dataelement:77:1		ENUMERATED	Regional lymph nodes - N1	Histopathology / TNM / Regional lymph nodes = N1	Histopathology / TNM / Regional lymph nodes = N1
urn:ccdg:dataelement:77:1		ENUMERATED	Regional lymph nodes - N0	Histopathology / TNM / Regional lymph nodes = N0	Histopathology / TNM / Regional lymph nodes = N0
urn:ccdg:dataelement:77:1		ENUMERATED	Regional lymph nodes - NX	Histopathology / TNM / Regional lymph nodes = NX	Histopathology / TNM / Regional lymph nodes = NX
urn:ccdg:dataelement:77:1		ENUMERATED	Regional lymph nodes - N3	Histopathology / TNM / Regional lymph nodes = N3	Histopathology / TNM / Regional lymph nodes = N3
urn:ccdg:dataelement:70:2		ENUMERATED	Stage - 0	Histopathology / UICC staging / Stage = 0	Histopathology / UICC staging / Stage = 0
urn:ccdg:dataelement:70:2		ENUMERATED	Stage - I	Histopathology / UICC staging / Stage = I	Histopathology / UICC staging / Stage = I
urn:ccdg:dataelement:70:2		ENUMERATED	Stage - II A	Histopathology / UICC staging / Stage = II A	Histopathology / UICC staging / Stage = II A
urn:ccdg:dataelement:70:2		ENUMERATED	Stage - IIB	Histopathology / UICC staging / Stage = IIB	Histopathology / UICC staging / Stage = IIB
urn:ccdg:dataelement:70:2		ENUMERATED	Stage - IIIA	Histopathology / UICC staging / Stage = IIIA	Histopathology / UICC staging / Stage = IIIA
urn:ccdg:dataelement:70:2		ENUMERATED	Stage - IIIB	Histopathology / UICC staging / Stage = IIIB	Histopathology / UICC staging / Stage = IIIB
urn:ccdg:dataelement:70:2		ENUMERATED	Stage - IIIC	Histopathology / UICC staging / Stage = IIIC	Histopathology / UICC staging / Stage = IIIC
urn:ccdg:dataelement:70:2		ENUMERATED	Stage - IVA	Histopathology / UICC staging / Stage = IVA	Histopathology / UICC staging / Stage = IVA
urn:ccdg:dataelement:70:2		ENUMERATED	Stage - IVB	Histopathology / UICC staging / Stage = IVB	Histopathology / UICC staging / Stage = IVB
urn:ccdg:dataelement:70:2		ENUMERATED	Stage - IIC	Histopathology / UICC staging / Stage = IIC	Histopathology / UICC staging / Stage = IIC
urn:ccdg:dataelement:70:2		ENUMERATED	Stage - IVC	Histopathology / UICC staging / Stage = IVC	Histopathology / UICC staging / Stage = IVC
urn:ccdg:dataelement:70:2		ENUMERATED	Stage - II	Histopathology / UICC staging / Stage = II	Histopathology / UICC staging / Stage = II
urn:ccdg:dataelement:70:2		ENUMERATED	Stage - III	Histopathology / UICC staging / Stage = III	Histopathology / UICC staging / Stage = III
urn:ccdg:dataelement:70:2		ENUMERATED	Stage - IV	Histopathology / UICC staging / Stage = IV	Histopathology / UICC staging / Stage = IV
urn:ccdg:dataelement:73:3		ENUMERATED	4th edition or earlier	Histopathology / UICC staging / UICC version = 4th. ed	Histopathology / UICC staging / UICC version = 4th. ed
urn:ccdg:dataelement:73:3		ENUMERATED	5th edition	Histopathology / UICC staging / UICC version = 5th. ed	Histopathology / UICC staging / UICC version = 5th. ed
urn:ccdg:dataelement:73:3		ENUMERATED	6th edition	Histopathology / UICC staging / UICC version = 6th. ed	Histopathology / UICC staging / UICC version = 6th. ed
urn:ccdg:dataelement:73:3		ENUMERATED	7th edition	Histopathology / UICC staging / UICC version = 7th ed.	Histopathology / UICC staging / UICC version = 7th ed.
urn:ccdg:dataelement:73:3		ENUMERATED	Not known	Histopathology / UICC staging / UICC version = Not known	Histopathology / UICC staging / UICC version = Not known
urn:ccdg:dataelement:73:3		ENUMERATED	8th edition	Histopathology / UICC staging / UICC version = 8th ed.	Histopathology / UICC staging / UICC version = 8th ed.
urn:ccdg:dataelement:83:1		ENUMERATED	WHO Grading - Grade - GX	Histopathology / WHO classification / Grade = GX	Histopathology / WHO classification / Grade = GX
urn:ccdg:dataelement:83:1		ENUMERATED	WHO Grading - Grade - G4	Histopathology / WHO classification / Grade = G4	Histopathology / WHO classification / Grade = G4
urn:ccdg:dataelement:83:1		ENUMERATED	WHO Grading - Grade - G3	Histopathology / WHO classification / Grade = G3	Histopathology / WHO classification / Grade = G3
urn:ccdg:dataelement:83:1		ENUMERATED	WHO Grading - Grade - G2	Histopathology / WHO classification / Grade = G2	Histopathology / WHO classification / Grade = G2
urn:ccdg:dataelement:83:1		ENUMERATED	WHO Grading - Grade - G1	Histopathology / WHO classification / Grade = G1	Histopathology / WHO classification / Grade = G1
urn:ccdg:dataelement:53:3		ENUMERATED	4th edition	Histopathology / WHO classification / WHO version = 4th ed.	Histopathology / WHO classification / WHO version = 4th ed.
urn:ccdg:dataelement:53:3		ENUMERATED	3rd edition	Histopathology / WHO classification / WHO version = 3rd ed.	Histopathology / WHO classification / WHO version = 3rd ed.
urn:ccdg:dataelement:53:3		ENUMERATED	2nd edition	Histopathology / WHO classification / WHO version = 2nd ed.	Histopathology / WHO classification / WHO version = 2nd ed.
urn:ccdg:dataelement:53:3		ENUMERATED	1st edition	Histopathology / WHO classification / WHO version = 1st ed.	Histopathology / WHO classification / WHO version = 1st ed.
urn:ccdg:dataelement:53:3		ENUMERATED	Not known	Histopathology / WHO classification / WHO version = Edition not known	Histopathology / WHO classification / WHO version = Edition not known
urn:ccdg:dataelement:57:4		ENUMERATED	Readily available	Histopathology / Availability digital imaging = Readily available	Histopathology / Availability digital imaging = Readily available
urn:ccdg:dataelement:57:4		ENUMERATED	Can be generated	Histopathology / Availability digital imaging = Can be generated	Histopathology / Availability digital imaging = Can be generated
urn:ccdg:dataelement:57:4		ENUMERATED	No	Histopathology / Availability digital imaging = No	Histopathology / Availability digital imaging = No
urn:ccdg:dataelement:58:2		ENUMERATED	No	Histopathology / Availability invasion front digital imaging = No	Histopathology / Availability invasion front digital imaging = No
urn:ccdg:dataelement:58:2		ENUMERATED	Can be generated	Histopathology / Availability invasion front digital imaging = Can be generated	Histopathology / Availability invasion front digital imaging = Can be generated
urn:ccdg:dataelement:58:2		ENUMERATED	Readily available	Histopathology / Availability invasion front digital imaging = Readily available	Histopathology / Availability invasion front digital imaging = Readily available
urn:ccdg:dataelement:58:2		ENUMERATED	Invasion front not included	Histopathology / Availability invasion front digital imaging = Invasion front not included	Histopathology / Availability invasion front digital imaging = Invasion front not included
urn:ccdg:dataelement:82:3		BOOLEAN	TRUE	Histopathology / Biological material from recurrence available = TRUE	Histopathology / Biological material from recurrence available = TRUE
urn:ccdg:dataelement:82:3		BOOLEAN	FALSE	Histopathology / Biological material from recurrence available = FALSE	Histopathology / Biological material from recurrence available = FALSE
urn:ccdg:dataelement:68:4		ENUMERATED	Localization of metastasis - Others	Histopathology / Localization of metastasis = Others	Histopathology / Localization of metastasis = Others
urn:ccdg:dataelement:68:4		ENUMERATED	Localization of metastasis - Skin	Histopathology / Localization of metastasis = Skin	Histopathology / Localization of metastasis = Skin
urn:ccdg:dataelement:68:4		ENUMERATED	Localization of metastasis - Adrenals	Histopathology / Localization of metastasis = Adrenals	Histopathology / Localization of metastasis = Adrenals
urn:ccdg:dataelement:68:4		ENUMERATED	Localization of metastasis - Peritoneum	Histopathology / Localization of metastasis = Peritoneum	Histopathology / Localization of metastasis = Peritoneum
urn:ccdg:dataelement:68:4		ENUMERATED	Localization of metastasis - Pleura	Histopathology / Localization of metastasis = Pleura	Histopathology / Localization of metastasis = Pleura
urn:ccdg:dataelement:68:4		ENUMERATED	Localization of metastasis - Bone marrow	Histopathology / Localization of metastasis = Bone marrow	Histopathology / Localization of metastasis = Bone marrow
urn:ccdg:dataelement:68:4		ENUMERATED	Localization of metastasis - Lymph nodes	Histopathology / Localization of metastasis = Lymph nodes	Histopathology / Localization of metastasis = Lymph nodes
urn:ccdg:dataelement:68:4		ENUMERATED	Localization of metastasis - Brain	Histopathology / Localization of metastasis = Brain	Histopathology / Localization of metastasis = Brain
urn:ccdg:dataelement:68:4		ENUMERATED	Localization of metastasis - Hepatic	Histopathology / Localization of metastasis = Hepatic	Histopathology / Localization of metastasis = Hepatic
